Below is the index of all known Key Events (KEs).
    Each line is in the format [id|title], where id is the unique KE number, and title is the KE name.
2241|Ferroptosis related pathways activation
2236|Decreased, Sodium uptake in gills
2237|Decreased, Plasma sodium concentrations
2238|Increased, Blood viscosity
2239|Increased, Cardiac stress
2261|Decreased, blood plasma volume
2262|Neuropathy target esterase, inhibited
2263|Lysolecithin, increased
2264|Lysolecithin cell membrane integration, increased
2265|Oligodendrocyte death, increased
2266|Demyelination, increased
2267|Delayed neuropathy, increased
2268|Decreased, insulin-induced gene 1 (INSIG1) protein activity
2269|Increased, Sterol Regulatory Element Binding Protein 2 (SREBP2) protein expression
2270|Increased, cholesterol synthesis enzymes
2271|Increased, plasma low-density lipoprotein (LDL) cholesterol
2274|Androgen receptor activation, increased
2365|Anogenital distance (AGD), increased
2276|Increased, protein expression of proprotein convertase subtilisin/kexin type 9 (PCSK9)
2277|Inhibition, aromatase activity in plasma
2278|Increased LMNA Mutation
2279|Structural changes in lamin A/C
2066|Altered Signaling Pathways
1924|Increased，Cardiac fibrosis
2280|Increased delay in heart electrical conduction
2281|Increased uncoordinated cardiac contraction
2284|Increased Intracellular cAMP Levels
2285|Increased the delayed and early afterdepolarizations
2287|Impaired Sodium-Calcium Exchange
2157|Abnormal Cardiac Structure and Function
2288|Phosphodiesterase inhibition
2289|Hyperphosphorylation of ryanodine receptor (RyR2)
2290|Inhibition of Funny current (If)
2291|Slowed Heart Rate
2292|Altered Cardiac Electrical Conduction
2293|Aromatase, induction
2294|Plasma estradiol, increased
2295|HCN Channel Inhibition
2296|Reduced Pacemaker Activity in SA Node
2305|Premature ovarian Insufficiency
1541|Mitochondrial Complex I inhibition
2299|Altered, Redox Homeostasis
2300|Disruption, Glucolipid metabolism
2301|Abnormal, Behavior
2302|Increase, Malformations
2250|17β-Hydroxysteroid dehydrogenase 2, inhibition
2303|Increased plasma estradiol to progesterone ratio (estrogen dominance/unopposed estrogen)
2306|Persistent vaginal cornification
2307|Binding of plastoquinone B (QB) within D1 protein of Photosystem II
2308|Increased, stimulation of brain serotonin 5-HT1a, 5-HT2c receptors
2309|Decreased DNA methylation of FAM50B/PTCHD3
2310|Elevated gene expression of FAM50B/PTCHD3
2311|Inhibition of PI3K-Akt pathway
2316|Increased, pulmonary edema
2317|Loss of olfactory function
2323|Over-expression of PD-L1 in cancer cells
2324|Increased of Treg/Th17 cell ratio
2326|CTL cytotoxic activity disruption
2331|Activation, Mineralocorticoid Receptor
2332|Increase, Lipid droplet
2333|Increase, Fat mass
2334|Increase, DGAT1
2335|Increase, body mass index
2336|Increase, SREBF1
2337|Increase, perilipin-2
2211|Microcephaly
2339|Intracellular copper, increased
2340|Oligomerisation of dihydrolipoamide acetyltransferase (DLAT), increased
2341|Tricarboxylic acid (TCA) cycle, disrupted
2342|Iron-sulfur cluster assembly, impaired
2343|Cuproptosis, increased
2344|Upregulation, growth arrest and DNA-damage-inducible beta a
2345|Activation, MAPK
2346|Decrease, Proliferating Cell Nuclear Antigen
2347|Increase, Lipid degradation
2348|Inhibition, Liver regeneration
2349|Inhibition of LDH activity
2350|Decreased, Glycolysis
2351|Increased, OXPHOS
2352|Increased, MMP
2353|Disrupted, energy metabolism
2354|Activation, Apoptosis signaling
2355|Disrupted, Spermatogenesis and Sperm quality
2362|Redox cycling of a chemical by mitochondria
2363|Elevated mitochondrial ROS and dysfunction
1238|Activation of oxidative stress pathway
2366|ovarian retardation
2367|Steroidogenesis Dysregulation
2369|Granulosa cell damage
2327|Decrease, Cell growth
2370|Agonism binding, α1-Adrenoreceptor
2371|Increased cortisol
2258|Inhibition, monocarboxylate transporter 8 (MCT8)
2376|Inhibition, organic anion-transporting polypeptide 1C1 (OATP1C1)
2377|Decrease, neural network maturation
2378|Impaired axonal insulation
2379|Disruption of the regulatory function of dopamine signaling components.
2380|Increase, transcription of the dopamine transporter (SLC6A3) gene
2381|Increase, transcription of the dopamine receptor (drd) gene.
2382|Increase, nerve spasm
1312|Increase, Fatty acid beta-oxidation
2384|Decrease, Vascular integrity
2383|Increase, Hemopericardium
2385|Suppression of Keap1 cysteine oxidation
1994|Increase, Ferroptosis
2387|MIE-A: Direct ligand interaction with nuclear hormone receptors (ERα/ERβ, AR) or interference with steroidogenic enzymes (e.g., CYP19A1) → receptor activation/antagonism or enzyme inhibition.
2388|MIE-B: Photoactivation / photoproduct formation leading to ROS generation
2389|KE1: Altered steroidogenesis (gene/protein level)
2390|KE5: Altered circulating reproductive hormones
2391|Reduced fertility / fecundity
2394|Diminished survival of naive B lymphocytes
2395|Diminished proliferation of activated B lymphocytes
2396|Diminished differentiation of activated B lymphocytes
2397|Diminished vaccine response
2398|Reduced antibody production
2393|Androgen receptor nuclear transcriptional activity in genital-tubercle tissues, reduced
2399|Fibroblast growth factor 10, fibroblast growth factor receptor 2 isoform IIIb signaling in genital tissue, reduced
2400|Preputial epithelial morphogenesis, disrupted
2401|Male preputial separation, failed/delayed
2403|Metabolic impairment
2404|Increase, kidney fibrosis
2402|Increased, estradiol (E2) production in ovaries
2410|Increase, 11β-Hydroxysteroid dehydrogenase type 1 activity
2412|Increase, Hepatic intracellular active glucocorticoids
2408|Increase, Adipose lipolysis
2405|Increase, Hepatocellular lipotoxicity
134|Increase, Kupffer cell activation
2406|Increase, Regenerative nodule formation
2407|Increase, Cirrhosis
1306|Increase, De novo lipogenesis
2409|Decrease, 11β-Hydroxysteroid dehydrogenase type 2 activity
2416|human amyotrophic lateral sclerosis (ALS)
2413|Increased, uterine weight
2414|COL3A1 Signaling Pathway
2415|Precocious puberty
2417|Increased, differentiation to ovaries
2418|Increased, phenotypic female-biased sex ratio
2422|Ileal FGF15/FGF19 secretion, decreased
2424|Hepatic CYP7A1, increased
2425|Intrahepatic bile acid burden, increased
2426|Hepatic BSEP (ABCB11), decreased
2427|Bile acid composition in bile and intestine, altered
2428|Gut derived PAMPs, increased
